UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE 
153825,"R",46010,"A",,"R",585,"G",1534,"G",24,"G",1534,"G",24,"A",,2
153834,"R",81006,"A",,"A",,"G",2700,"A",,"G",2700,"A",,"A",,2
153861,"R",12954,"A",,"R",17678,"G",432,"G",737,"G",432,"G",737,"A",,2
153922,"R",39503,"A",,"A",,"G",1317,"A",,"G",1317,"A",,"A",,2
153977,"R",24105,"A",,"A",,"G",804,"A",,"G",804,"A",,"A",,2
154004,"R",36092,"A",,"R",13240,"G",1203,"G",552,"G",1203,"G",552,"A",,2
154013,"R",36565,"A",,"R",5287,"G",1219,"G",220,"G",1219,"G",220,"A",,2
154022,"R",1916654,"A",,"R",226611,"G",63888,"G",9442,"G",63888,"G",9442,"A",,2
154059,"R",67050,"A",,"A",,"G",2235,"A",,"G",2235,"A",,"A",,2
154095,"R",290820,"A",,"R",26925,"G",9694,"G",1122,"G",9694,"R",1496,"A",,2
154101,"R",36163,"A",,"A",,"G",1205,"A",,"G",1205,"A",,"A",,2
154110,"R",100946,"A",,"A",,"G",3365,"A",,"G",3365,"A",,"A",,2
154129,"R",35213,"A",,"A",,"G",1174,"A",,"R",1112,"A",,"A",,2
154156,"A",,"A",,"R",4520,"A",,"G",188,"A",,"G",188,"R",1392,-2
154165,"A",,"R",102598,"A",,"G",114,"A",,"G",114,"A",,"A",,1
154174,"R",2178,"A",,"R",65,"G",73,"G",3,"R",82,"R",4,"R",2494,2
154208,"A",,"R",173051,"A",,"G",192,"A",,"G",192,"A",,"A",,1
154235,"R",71771,"A",,"R",15862,"G",2392,"G",661,"G",2392,"G",661,"R",95,2
154262,"R",5002,"A",,"A",,"G",167,"A",,"G",167,"A",,"A",,2
154332,"A",,"R",59310,"A",,"G",66,"A",,"G",66,"A",,"A",,1
154341,"A",,"R",85070,"A",,"G",95,"A",,"G",95,"A",,"A",,1
154350,"R",54748,"A",,"R",2433,"G",1825,"G",101,"G",1825,"G",101,"A",,2
154378,"R",67522,"A",,"A",,"G",2251,"A",,"G",2251,"A",,"A",,2
154396,"R",34470,"A",,"A",,"G",1149,"A",,"G",1149,"A",,"A",,2
154448,"A",,"R",230525,"A",,"G",256,"A",,"G",256,"A",,"A",,1
154457,"A",,"R",79881,"A",,"G",89,"A",,"G",89,"A",,"A",,1
154466,"A",,"R",77400,"A",,"G",86,"A",,"G",86,"A",,"A",,1
154493,"R",144768,"A",,"R",10777,"G",4826,"G",449,"G",4826,"G",449,"A",,2
154518,"R",22851,"A",,"A",,"G",762,"A",,"G",762,"A",,"A",,2
154527,"R",54372,"A",,"A",,"G",1812,"A",,"G",1812,"A",,"A",,2
154536,"A",,"A",,"R",3476,"A",,"G",145,"A",,"G",145,"A",,-2
154545,"A",,"R",40651,"A",,"G",45,"A",,"G",45,"A",,"A",,1
154572,"R",106334,"A",,"A",,"G",3544,"A",,"G",3544,"A",,"A",,2
154590,"R",42289,"A",,"R",3300,"G",1410,"G",138,"R",1564,"R",150,"A",,2
154642,"R",62661,"A",,"A",,"G",2089,"A",,"G",2089,"A",,"A",,2
154688,"R",52370,"A",,"R",24153,"G",1746,"G",1006,"G",1746,"G",1006,"A",,2
154697,"R",123227,"A",,"A",,"G",4108,"A",,"G",4108,"A",,"A",,2
154712,"R",56348,"A",,"R",1080,"G",1878,"G",45,"G",1878,"G",45,"A",,2
154721,"R",17006,"A",,"A",,"G",567,"A",,"G",567,"A",,"A",,2
154749,"R",13805,"A",,"A",,"G",460,"A",,"G",460,"A",,"A",,2
154767,"R",23070,"A",,"A",,"G",513,"A",,"G",513,"A",,"A",,2
154776,"R",22730,"A",,"A",,"G",505,"A",,"G",505,"A",,"A",,2
154794,"R",6921,"A",,"A",,"G",154,"A",,"G",154,"A",,"A",,2
154800,"R",200288,"A",,"A",,"G",6676,"A",,"G",6676,"A",,"A",,2
154837,"R",633,"A",,"R",3024,"G",21,"G",126,"G",21,"G",126,"R",56,2
154855,"R",25612,"A",,"A",,"G",854,"A",,"G",854,"A",,"A",,2
154907,"R",48359,"A",,"A",,"G",1612,"A",,"G",1612,"A",,"A",,2
154925,"R",39452,"A",,"A",,"G",1315,"A",,"G",1315,"A",,"A",,2
154934,"R",31964,"A",,"A",,"G",1065,"A",,"G",1065,"A",,"A",,2
154952,"R",95183,"A",,"A",,"G",3173,"A",,"G",3173,"A",,"A",,2
154970,"A",,"R",262605,"A",,"G",292,"A",,"G",292,"A",,"A",,1
154998,"R",41928,"A",,"A",,"G",1398,"A",,"G",1398,"A",,"A",,2
155007,"R",8905,"A",,"A",,"G",297,"A",,"G",297,"A",,"A",,2
155025,"R",101772,"A",,"R",31088,"G",3392,"G",1295,"G",3392,"G",1295,"A",,2
155052,"R",18302,"A",,"A",,"G",610,"A",,"G",610,"A",,"A",,2
155061,"R",227226,"A",,"R",27689,"G",7574,"G",1154,"G",7574,"G",1154,"A",,2
155070,"R",6697,"A",,"R",375,"G",223,"G",16,"G",223,"G",16,"A",,2
155089,"R",44352,"A",,"R",13104,"G",1478,"G",546,"G",1478,"G",546,"A",,2
155098,"R",45437,"A",,"A",,"G",1515,"A",,"G",1515,"A",,"A",,2
155104,"R",44661,"A",,"A",,"G",1489,"A",,"G",1489,"A",,"A",,2
155140,"R",21881,"A",,"A",,"G",729,"A",,"G",729,"A",,"A",,2
155159,"A",,"R",93784,"A",,"G",104,"A",,"G",104,"A",,"A",,1
155177,"R",12269,"A",,"A",,"G",409,"A",,"G",409,"A",,"A",,2
155186,"R",64431,"A",,"A",,"G",2148,"A",,"G",2148,"A",,"A",,2
155195,"R",125231,"A",,"A",,"G",4174,"A",,"G",4174,"A",,"A",,2
155201,"R",26884,"A",,"A",,"G",896,"A",,"G",896,"A",,"A",,2
155210,"R",359284,"A",,"A",,"G",11976,"A",,"G",11976,"A",,"A",,2
155283,"A",,"R",1095164,"A",,"G",1217,"A",,"G",1217,"A",,"A",,1
155292,"R",141541,"A",,"A",,"G",4718,"A",,"G",4718,"A",,"A",,2
155317,"R",550387,"A",,"R",106614,"G",18346,"G",4442,"G",18346,"G",4442,"R",2218,2
155335,"R",47141,"A",,"R",11874,"G",1571,"G",495,"G",1571,"G",495,"A",,2
155353,"A",,"R",45820,"A",,"G",51,"A",,"G",51,"A",,"A",,1
