UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,ACTTYPE 
140711,"A",,"R",59058,"A",,"G",66,"A",,"G",66,"A",,1
140720,"R",25698,"A",,"A",,"G",857,"A",,"G",857,"A",,2
140818,"R",34552,"A",,"R",35034,"G",1152,"G",1460,"G",1152,"G",1460,2
140827,"R",6107,"A",,"A",,"G",136,"A",,"G",136,"A",,2
140872,"R",31568,"A",,"R",454,"G",1052,"G",19,"R",1052,"R",26,2
140942,"R",181339,"A",,"A",,"G",4030,"A",,"G",4030,"A",,2
140951,"R",335611,"A",,"R",56148,"G",7458,"G",1560,"G",7458,"G",1560,2
140960,"R",98241,"A",,"R",2268,"G",3275,"G",95,"G",3275,"G",95,2
140988,"R",35711,"A",,"A",,"G",1190,"A",,"G",1190,"A",,2
140997,"R",47569,"A",,"A",,"G",1586,"A",,"G",1586,"A",,2
141006,"R",88711,"A",,"A",,"G",1971,"A",,"G",1971,"A",,2
141015,"R",11775,"A",,"A",,"G",262,"A",,"G",262,"A",,2
141060,"R",75380,"A",,"A",,"G",2513,"A",,"G",2513,"A",,2
141097,"R",117038,"A",,"R",8461,"G",3901,"G",353,"G",3901,"G",353,2
141158,"R",52297,"A",,"A",,"G",1162,"A",,"G",1162,"A",,2
