;Z,ENSIGN,WESTMIN,WSU_MAIN,WSU_DAVIS,SLCC_SC,BYU,SLCC_MAIN,UVU_MAIN,UOFU_MAIN,SLCC_JD,SLCC_ML
219,0,0,17,2,0,0,0,21,0,0,0
220,0,0,0,9,0,0,0,0,0,0,0
221,0,0,3,0,0,0,0,0,0,0,0
222,0,0,0,0,0,2,0,0,0,0,0
223,0,0,6,4,0,0,0,0,0,0,0
224,0,0,17,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0
226,0,0,15,4,0,0,0,0,0,0,0
227,0,1,0,0,0,0,0,0,0,0,0
228,0,0,21,0,0,0,0,0,0,0,0
229,0,0,3,0,0,0,0,0,0,0,0
233,0,0,0,1,0,0,0,0,0,0,0
234,0,0,0,20,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,7,0,0
236,0,0,25,0,0,0,0,0,0,0,0
238,0,0,2,0,0,0,0,0,19,0,0
245,0,0,4,0,0,0,0,0,0,0,0
246,0,0,41,0,0,0,0,0,0,0,0
247,0,0,10,8,0,0,0,21,0,0,0
248,0,0,3,0,0,0,0,0,0,0,0
249,4,0,32,0,0,0,0,0,48,0,0
250,0,0,40,0,0,0,0,0,0,0,0
251,0,0,1,0,0,0,0,3,0,0,0
252,0,0,0,0,0,0,0,0,0,0,0
253,0,0,3,3,0,0,0,0,0,0,0
254,0,0,2,0,0,0,0,0,0,0,0
255,0,0,9,0,0,0,0,0,0,0,0
257,0,0,5,0,0,0,0,0,0,0,0
263,0,0,25,0,0,0,0,0,0,0,0
264,0,0,13,16,0,0,0,0,0,1,0
265,0,0,20,6,0,0,0,0,0,0,0
266,0,0,19,0,0,0,0,0,0,0,0
267,0,0,54,8,0,0,0,0,0,0,0
268,0,0,54,0,0,0,0,0,0,0,0
269,0,0,8,0,0,0,0,0,0,0,0
270,0,0,1,0,0,0,0,0,0,0,0
271,0,0,14,0,0,0,0,0,0,0,0
272,0,0,6,0,0,0,0,0,0,0,0
273,0,0,6,16,0,0,0,0,0,0,0
274,0,0,89,0,0,0,0,0,0,0,0
276,0,0,5,0,0,0,0,0,0,0,0
278,0,0,29,3,0,0,0,0,17,0,0
279,0,0,2,0,0,0,0,0,28,0,0
281,0,0,3,8,0,0,0,0,0,0,0
282,0,0,17,0,0,0,0,0,0,0,0
283,0,0,2,0,0,0,0,0,0,0,0
284,0,0,28,0,0,0,0,0,0,0,0
286,0,0,2,3,0,0,0,0,0,0,0
287,0,0,6,0,0,0,0,0,0,0,0
288,0,0,16,11,0,0,0,0,0,0,0
291,0,0,25,0,0,0,0,0,0,0,0
293,0,0,13,0,0,0,0,0,0,0,0
294,0,0,2,2,0,0,0,0,5,0,0
297,0,0,3,4,0,0,0,0,0,0,0
302,0,0,6,0,0,0,0,0,0,0,0
303,0,0,0,1,0,0,0,0,0,0,0
304,0,0,2,0,0,0,0,0,0,0,0
307,0,0,3,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,3,0,0
309,0,1,1,4,0,0,0,0,0,0,0
312,0,0,2,2,0,0,0,0,0,0,0
313,0,0,6,0,0,0,0,0,0,0,0
314,0,0,3,2,0,0,0,0,0,0,0
316,0,0,46,11,0,0,0,0,0,0,0
317,0,0,3,0,0,0,0,0,35,0,0
318,0,0,106,0,0,0,0,0,0,0,0
320,0,0,27,4,0,0,0,0,0,0,0
321,0,0,10,0,0,0,0,0,0,0,0
322,0,0,0,2,0,0,0,0,0,0,0
323,0,0,10,14,0,0,0,0,0,0,0
324,0,0,9,0,0,0,0,0,0,0,0
325,0,0,13,0,0,0,0,0,0,0,0
327,0,0,29,3,0,0,0,0,0,0,0
328,0,0,9,0,0,0,0,0,0,0,0
329,0,0,41,3,0,0,0,0,0,0,0
330,0,0,24,0,0,0,0,0,0,0,0
331,0,0,63,0,0,0,0,0,0,0,0
332,0,0,0,3,0,0,0,0,28,0,0
333,0,0,24,0,0,0,0,0,0,0,0
334,0,0,5,0,0,0,0,0,0,0,0
335,0,0,14,12,0,0,0,0,0,0,0
